Group,Site,SiteNo,Obs,Feature,Burial,Sex,MLC,MWC,MND,BCB,MXID,LFM,WFM,LBP
Arikara,Larson,39WW2,169,201,13B,M,27.10,18.95,22.95,58.85,50.15,37.15,32.15,22.30
Arikara,Larson,39WW2,170,201,34B,F,25.61,13.90,16.50,52.95,45.60,32.80,28.65,24.80
Arikara,Larson,39WW2,171,201,52B,M,27.20,12.25,18.65,51.10,45.80,,30.60,26.60
Arikara,Larson,39WW2,172,201,56E,M,25.45,16.75,,51.85,46.70,36.55,28.00,27.10
Arikara,Larson,39WW2,173,201,86,M,26.20,15.15,,54.00,,34.50,,21.90
Arikara,Larson,39WW2,174,301,25,F,,,,,43.35,37.50,29.25,25.90
Arikara,Larson,39WW2,175,301,47,F,,,,,46.60,34.75,30.55,24.50
Arikara,Larson,39WW2,10,101,33E,M,23.20,16.05,19.85,50.55,40.20,34.01,28.50,26.80
Arikara,Larson,39WW2,11,201,69B,M,26.65,14.60,17.55,49.10,44.10,31.70,29.30,13.25
Arikara,Larson,39WW2,12,201,47F,F,28.55,17.85,21.35,56.20,48.05,34.70,28.10,25.10
Arikara,Larson,39WW2,13,201,84E,M,27.60,17.60,16.80,59.15,51.75,35.75,30.85,25.50
Arikara,Larson,39WW2,14,201,84F,M,22.05,16.50,20.75,50.70,42.15,31.75,25.80,25.65
Arikara,Larson,39WW2,15,201,84H,F,23.40,13.90,19.85,49.20,43.45,32.85,26.40,27.10
Arikara,Larson,39WW2,16,201,130A,M,25.10,14.65,18.20,52.05,44.40,37.40,29.75,23.65
Arikara,Larson,39WW2,17,201,148F,M,25.95,12.55,22.90,51.90,48.95,38.00,31.15,26.75
Arikara,Larson,39WW2,18,301,1M,M,27.60,13.10,17.40,55.15,48.90,35.05,32.10,25.30
Arikara,Larson,39WW2,19,301,3D,M,30.15,15.50,12.85,55.50,47.25,36.60,31.70,27.25
Arikara,Larson,39WW2,20,301,lG,F,21.10,15.05,19.85,48.55,39.10,34.45,26.10,22.00
Arikara,Larson,39WW2,21,301,3C,F,23.25,14.85,17.50,46.60,45.60,32.90,27.50,24.05
Arikara,Larson,39WW2,22,301,1D,M,23.35,15.80,20.80,54.05,47.65,39.50,32.55,26.60
Arikara,Larson,39WW2,23,102,3C,M,25.80,13.55,17.90,50.05,47.35,34.05,29.20,23.15
Arikara,Larson,39WW2,24,301,3G,F,27.20,15.95,19.75,53.00,47.25,35.70,30.20,22.60
Arikara,Larson,39WW2,25,301,3F,F,25.00,14.25,17.60,51.45,45.30,37.10,31.70,25.80
Arikara,Larson,39WW2,26,301,3E,M,27.80,14.85,19.10,51.00,43.30,37.20,29.25,23.75
